station_name,lat,lon,station_cd,yomi,pref_cd
湘南江の島,35.311867,139.487794,9932608,,14
新津田沼,35.690184,140.023745,9932902,,12
前原,35.700666,140.027542,9932903,,12
薬園台,35.710271,140.037599,9932904,,12
習志野,35.715293,140.042787,9932905,,12
高根木戸,35.726625,140.034923,9932907,,12
高根公団,35.730436,140.029382,9932908,,12
滝不動,35.737957,140.02622,9932909,,12
三咲,35.749217,140.028514,9932910,,12
二和向台,35.753825,140.023731,9932911,,12
鎌ヶ谷大仏,35.757827,140.013823,9932912,,12
初富,35.771992,140.000493,9932913,,12
北初富,35.776692,139.989811,9932915,,12
くぬぎ山,35.782343,139.975707,9932916,,12
元山,35.790229,139.975831,9932917,,12
五香,35.797281,139.965796,9932918,,12
常盤平,35.803191,139.949522,9932919,,12
八柱,35.791394,139.937362,9932920,,12
みのり台,35.789346,139.929466,9932921,,12
松戸新田,35.790652,139.922833,9932922,,12
上本郷,35.789524,139.916031,9932923,,12
葭川公園,35.608551,140.120142,9933105,,12
県庁前,35.603958,140.12222,9933106,,12
千葉公園,35.619774,140.117944,9933202,,12
作草部,35.625806,140.115314,9933203,,12
天台,35.631447,140.112902,9933204,,12
穴川,35.639645,140.111849,9933205,,24
スポーツセンター,35.643164,140.11611,9933206,,12
動物公園,35.642585,140.125437,9933207,,12
みつわ台,35.6387,140.134873,9933208,,12
桜木,35.631308,140.160935,9933210,,12
小倉台,35.627755,140.171873,9933211,,12
千城台北,35.627436,140.181972,9933212,,12
千城台,35.622314,140.18856,9933213,,12
幸谷,35.826642,139.919912,9933302,,12
小金城趾,35.83601,139.916887,9933303,,12
鰭ヶ崎,35.840948,139.911121,9933304,,12
流山,35.855771,139.901766,9933306,,12
多摩センター,35.623724,139.422782,9933401,たませんたー,13
松が谷,35.63169,139.422201,9933402,まつがや,13
大塚・帝京大学,35.636878,139.416461,9933403,おおつかていきょうだいがく,13
中央大学・明星大学,35.64197,139.408672,9933404,ちゅうおうだいがくめいせいだいがく,13
程久保,35.655093,139.410698,9933406,ほどくぼ,13
万願寺,35.671249,139.420079,9933408,まんがんじ,13
甲州街道,35.678262,139.409191,9933409,こうしゅうかいどう,13
柴崎体育館,35.689475,139.409191,9933410,しばさきたいいくかん,13
立川南,35.696077,139.412546,9933411,たちかわみなみ,13
立川北,35.699502,139.41254,9933412,たちかわきた,13
高松,35.710158,139.413242,9933413,たかまつ,17
立飛,35.714717,139.417387,9933414,たちひ,13
泉体育館,35.718775,139.419525,9933415,いずみたいいくかん,13
砂川七番,35.723319,139.418097,9933416,すながわななばん,13
桜街道,35.739,139.416653,9933418,さくらかいどう,13
上北台,35.745824,139.415822,9933419,かみきただい,13
仲ノ町,35.728813,140.833871,9933502,,12
